Capmonster:2000000
Zennoposter:1600000
0:Pia Guerrero:cleaner:150:30:::
85:Kain Bowers:teamLeader:650:40:500:0.09:Capmonster
86:Yannis Frye:teamLeader:650:40:500:0.09:Capmonster
87:Odin Preston:teamLeader:650:40:500:0.09:Zennoposter
88:Maude Begum:teamLeader:650:40:500:0.09:Zennoposter
89:Opal Farrell:teamLeader:650:40:500:0.09:Zennoposter
90:Chay Malone:manager::40::0.04:Capmonster
91:Kason Sanderson:manager::40::0.04:Capmonster
92:Christie Roberts:manager::40::0.04:Zennoposter
93:Salman Hastings:manager::40::0.04:Zennoposter
94:Lucinda Drew:projectManager::40:1000:0.085:Capmonster
95:Jessica Amin:projectManager::40:1000:0.085:Capmonster
96:Leandro Todd:projectManager::40:1000:0.085:Zennoposter
97:Dotty Shannon:projectManager::40:1000:0.085:Zennoposter
98:Giulia Valencia:seniorManager::40:5000:0.1:Zennoposter
99:Lily-May Galloway:seniorManager::40:5000:0.1:Capmonster
